"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Departamento"|"Ciudad"|"Barrio"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
14|"Mazda 2"|"$ 27.500.000"|"2011"|"82.500 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455506088-mazda-mazda-2-_JM"|"Rojo"|"Gasolina"|"82500"|"Mazda"|"Bogotá D.c. "|" Suba"|" Aures"|"Mazda 2"|"No"|"RLL-164"|"2011"||"Sí"|"Sí"|"Sí"|"Tela"||"Asistida"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1||||1||||||1|1|1|1|1|||1||||2017-09-04
15|"Mazda 2"|"$ 31.500.000"|"2014"|"31.200 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455297213-mazda-mazda-2-_JM"|"Azul"|"Gasolina"|"31200"|"Mazda"|"Bogotá D.c. "|" Engativa"|" Bosque Popular"|"Mazda 2"|"Sí"|"HBZ-784"|"2014"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|||||||||||1|1|1||1|||||||2017-09-04
16|"Mazda 2 Hatch Back 1.5 At"|"$ 23.000.000"|"2008"|"138.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455502066-mazda-mazda-2-hatch-back-15-at-_JM"|"Gris"|"Gasolina"|"138000"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" El Contador"|"Mazda 2"|"No"|"CYY465"|"2008"|"HATCH BACK 1.5 AT"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||||||||||||||||||||2017-09-04
17|"Mazda 2 Hb"|"$ 29.900.000"|"2011"|"69.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-455506686-mazda-mazda-2-hb-_JM"|"Blanco"|"Gasolina"|"69000"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"No"|"RDT-145"|"2011"|"HB"|"Sí"|"Sí"|"Sí"|"Cuero"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|||||||||||1|||1|||1||||2017-09-04
18|"Mazda 2 Grand Touring Mec 1.5 4x2"|"$ 47.900.000"|"2016"|"34.596 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455597479-mazda-2-grand-touring-mec-15-4x2-_JM"|"Gris"|"Gasolina"|"34596"|"Mazda"|"Bogotá D.c. "|" Bogota"||"Mazda 2"|"No"|"UUS271"|"2016"||"Sí"|||"Tela"|"1500"|"Asistida"|"Sí"||"Sí"||"CD"|"4x2"|"Mecánica"|||||||||||||||||||||||2017-09-04
19|"Mazda 2 Touring"|"$ 43.500.000"|"2016"|"12.500 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455369974-mazda-mazda-2-touring-_JM"|"Otro"|"Gasolina"|"12500"|"Mazda"|"Bogotá D.c. "|" Barrios Unidos"||"Mazda 2"|"Sí"|"IFV125"|"2016"|"TOURING"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"||"Sí"|"No"|"CD"|"4x2"|"Automática"|"Eléctricos"|1|||1|||||||1|1||||||1||||2017-09-04
20|"Mazda 2 Touring"|"$ 45.000.000"|"2016"|"18.300 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-455313954-mazda-mazda-2-touring-_JM"|"Gris"|"Gasolina"|"18300"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"Sí"|"IOU-701"|"2016"|"Touring"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|||1|1||1||||1|1|1||1|1||1|||1|2017-09-04
21|"Mazda 2 2018"|"$ 52.400.000"|"2018"|"0 Km"|"Huila"|"http://articulo.tucarro.com.co/MCO-455506865-mazda-mazda-2-2018-_JM"|"Azul"||"0"|"Mazda"|"Huila "|" Neiva"||"Mazda 2"||"*"|"2018"|||||||"Asistida"|||"No"||||"Automática"|||||||||||||||||||||||2017-09-04
22|"Mazda 2 215 Hatch Back"|"$ 26.000.000"|"2010"|"47.000 Km"|"Cundinamarca"|"http://articulo.tucarro.com.co/MCO-455457823-mazda-mazda-2-215-hatch-back-_JM"|"Negro"|"Gasolina"|"47000"|"Mazda"|"Cundinamarca "|" Chía"||"Mazda 2"|"Sí"|"DCR-936"|"2010"|"215 HATCH BACK"|"Sí"|"Sí"||"Tela"||"Hidráulica"||"1500"|"Sí"||"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||1|||1|1||1|1|1||1|1|1||1|||1|2017-09-04
23|"Mazda 2"|"$ 34.000.000"|"2014"|"22.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455242980-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"22000"|"Mazda"|"Bogotá D.c. "|" Teusaquillo"|" Quirinal"|"Mazda 2"|"No"|"HCS251"|"2014"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Automática"|"Eléctricos"||||||||||||1|1|||||||||2017-09-04
24|"Mazda 2 Mazda 2, Sedan F.e. 1,5l"|"$ 25.900.000"|"2011"|"100.593 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455486249-mazda-2-sedan-15l-mecanico-full-equipo-hermoso-_JM"|"Plateado"|"Gasolina"|"100593"|"Mazda"|"Bogotá D.c. "|" Bogota"||"Mazda 2"||"KGD482"|"2011"|"Mazda 2, Sedan F.E. 1,5L"|"Sí"|"Sí"|"Sí"|"Cuero"|"4, 16 VALVULAS"|"Hidráulica"|"No"|"1.498 Cms3"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1||||||||1|1|1|1|1|1||1|1||||2017-09-04
25|"Mazda 2 Grand Touring"|"$ 50.500.000"|"2017"|"12.600 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455465778-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"12600"|"Mazda"|"Bogotá D.c. "|" Bogota"||"Mazda 2"|"Sí"|"IXQ754"|"2017"|"GRAND TOURING"|"Sí"|"Sí"|"Sí"|"Cuero"||"Asistida"|"Sí"|"1500"|"Sí"|"No"|"CD"|"4x2"|"Mecánica"|"Eléctricos"||||||||||||||||||||||2017-09-04
26|"Mazda 2 Hb"|"$ 26.400.000"|"2009"|"77.342 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-455227212-mazda-mazda-2-2009-_JM"|"Gris"|"Gasolina"|"77342"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"Sí"|"MOO-342"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|||||||||1|1|1|1||1|||1||||2017-09-04
27|"Mazda 2 Skyactiv"|"$ 49.500.000"|"2017"|"5.500 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455302644-mazda-mazda-2-skyactiv-_JM"|"Otro"|"Gasolina"|"5500"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" Multicentro"|"Mazda 2"|"Sí"|"***-**2"|"2017"|"Skyactiv"||"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1|1||||||1||1|1|1|1||1|1||1|||1|2017-09-04
28|"Mazda 2 Hatch Back"|"$ 26.000.000"|"2010"|"45.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-455465426-mazda-mazda-2-hatch-back-_JM"|"Negro"|"Gasolina"|"45000"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" Villa Magdala"|"Mazda 2"|"No"|"RAR802"|"2010"|"HATCH BACK"||"Sí"|"Sí"|"Cuero"||"Asistida"|"No"|"1500"|"Sí"|"No"|"MP3"||"Automática"|"Eléctricos"|||||||||||1|||1||||1||||2017-09-04
29|"Mazda 2 215hm8"|"$ 20.900.000"|"2008"|"81.942 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454166988-mazda-2-mt-1500cc-aa-2ab-abs-segundo-dueno-_JM"|"Azul"|"Gasolina"|"81942"|"Mazda"|"Bogotá D.c. "|" Bogota"||"Mazda 2"|"No"|"CYX841"|"2008"|"215HM8"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"||"Mecánica"|"Eléctricos"|1|1||||||1|1|1|1|1|1|1|1|1||1||||2017-09-04
