"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
1|"Mazda 2 215hm8"|"$ 20.900.000"|"2008"|"81.942 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454166988-mazda-2-mt-1500cc-aa-2ab-abs-segundo-dueno-_JM"|"Azul"|"Gasolina"|"81942"|"Mazda"|"Mazda 2"|"No"|"CYX841"|"2008"|"215HM8"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"||"Mecánica"|"Eléctricos"|1|1||||||1|1|1|1|1|1|1|1|1||1||||2017-08-18
2|"Mazda 2 Hatchback"|"$ 24.500.000"|"2008"|"94.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454441093-mazda-2-_JM"|"Verde"|"Gasolina"|"94000"|"Mazda"|"Mazda 2"|"No"|"FHA333"|"2008"|"HATCHBACK"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"Sí"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1||||||||1|1|1|1|1|1|1||1||||2017-08-18
3|"Mazda 2 215ha8"|"$ 22.500.000"|"2009"|"102.204 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454164915-mazda-2-automatico-1500cc-aa-2abs-ab-unico-dueno-_JM"|"Negro"|"Gasolina"|"102204"|"Mazda"|"Mazda 2"|"No"|"DCB127"|"2009"|"215HA8"|"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"||"Automática"|"Eléctricos"|1|1|||||||1|1|1|1|1|1|1|1||1||||2017-08-18
4|"Mazda 2 Automatico"|"$ 31.500.000"|"2013"|"32.125 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454153887-mazda-2-aut-_JM"|"Plateado"|"Gasolina"|"32125"|"Mazda"|"Mazda 2"||"NBT800"|"2013"|"Automatico"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"||"1,5L"|"Sí"||"MP3"||"Automática"|||1|||||||||1|1|||1|||1||||2017-08-18
5|"Mazda 2 Sedan At"|"$ 28.000.000"|"2011"|"35.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454555176-mazda-mazda-2-sedan-at-_JM"|"Negro"|"Gasolina"|"35000"|"Mazda"|"Mazda 2"|"Sí"|"*** ***"|"2011"|"SEDAN AT"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1|1|||||||||1|1|1||1|||1||||2017-08-18
6|"Mazda 2 Touring Skyactive Automatico"|"$ 44.500.000"|"2016"|"33.000 Km"|"Santander"|"http://articulo.tucarro.com.co/MCO-454496809-mazda-mazda-2-touring-skyactive-automatico-_JM"|"Plateado"|"Gasolina"|"33000"|"Mazda"|"Mazda 2"|"Sí"|"UUU-997"|"2016"|"Touring Skyactive Automatico"|"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"||||||||||1||1|1|||||||||2017-08-18
7|"Mazda 2"|"$ 28.000.000"|"2011"|"69.800 Km"|"Cundinamarca"|"http://articulo.tucarro.com.co/MCO-454409780-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"69800"|"Mazda"|"Mazda 2"|"No"|"***-**9"|"2011"|||"Sí"|"Sí"|"Tela"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1||||||||||1|1|1|1||||1||||2017-08-18
8|"Mazda 2 Hatch Back"|"$ 26.500.000"|"2010"|"61.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454045454-mazda-mazda-2-hatch-back-_JM"|"Blanco"|"Gasolina"|"61000"|"Mazda"|"Mazda 2"|"Sí"|"RBR230"|"2010"|"HATCH BACK"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Asistida"|"No"|"1500"|"Sí"|"No"|"CD"||"Mecánica"|"Eléctricos"|1||||||||||1|1|1|1|1|||1||||2017-08-18
9|"Mazda 2 Hb"|"$ 26.500.000"|"2009"|"83.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454496306-mazda-mazda-2-hb-_JM"|"Rojo"|"Gasolina"|"83000"|"Mazda"|"Mazda 2"|"No"|"FHD-734"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||1||||||1||1|1||1|1|||||1|2017-08-18
10|"Mazda 2"|"$ 25.500.000"|"2010"|"102.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454110717-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"102000"|"Mazda"|"Mazda 2"||"FHP-646"|"2010"||"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"||"MP3"|"4x2"|"Mecánica"|"Eléctricos"||1||||||||||1|||1|||||||2017-08-18
11|"Mazda 2 Hb"|"$ 27.000.000"|"2009"|"61.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454108446-mazda-mazda-2-hb-_JM"|"Gris"|"Gasolina"|"61000"|"Mazda"|"Mazda 2"|"No"|"MON-905"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Cuero"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||||||||1|1|1|1||1|1||1||||2017-08-18
12|"Mazda 2 Mazda 2"|"$ 22.500.000"|"2009"|"112.600 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454464371-mazda-2-mecanico-15-full-equipo-_JM"|"Rojo"|"Gasolina"|"112600"|"Mazda"|"Mazda 2"|"No"|"DCE 383"|"2009"|"Mazda 2"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|||||||||||1|1||1|||1||||2017-08-18
13|"Mazda 2 Hb Skyactive At 1500cc"|"$ 45.000.000"|"2016"|"34.000 Km"|"Valle Del Cauca"|"http://articulo.tucarro.com.co/MCO-454343584-mazda-mazda-2-hb-skyactive-at-1500cc-_JM"|"Blanco"|"Gasolina"|"34000"|"Mazda"|"Mazda 2"||"IGY-501"|"2016"|"HB Skyactive AT 1500cc"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1||||||||||1|1|1||1|||1||||2017-08-18
14|"Mazda 2"|"$ 27.000.000"|"2010"|"41.000 Km"|"Cundinamarca"|"http://articulo.tucarro.com.co/MCO-454060299-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"41000"|"Mazda"|"Mazda 2"|"Sí"|"RAL-749"|"2010"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|||"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1|||||||||||||||||||||2017-08-18
15|"Mazda 2 Hb Fe Mt 1.5 Aa Ab Abs"|"$ 27.800.000"|"2011"|"55.700 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454236499-mazda-mazda-2-hb-fe-mt-15-aa-ab-abs-_JM"|"Blanco"|"Gasolina"|"55700"|"Mazda"|"Mazda 2"|"No"|"BXR-412"|"2011"|"HB FE MT 1.5 AA AB ABS"|"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Mecánica"|"Eléctricos"|1|||||||||||1|1||1|||1|1|||2017-08-18
16|"Mazda 2"|"$ 27.800.000"|"2012"|"75.000 Km"|"Santander"|"http://articulo.tucarro.com.co/MCO-454344093-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"75000"|"Mazda"|"Mazda 2"|"Sí"|"KKZ-806"|"2012"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|||"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1||||1|||||1|1|1|1||1|||1||||2017-08-18
17|"Mazda 2 1.5 At Fe"|"$ 35.500.000"|"2015"|"42.700 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454222213-mazda-mazda-2-15-at-fe-_JM"|"Plateado"|"Gasolina"|"42700"|"Mazda"|"Mazda 2"|"Sí"|"ZZX-712"|"2015"|"1.5 AT FE"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1|1|||1|||||1|1|1|1||1|1||1||||2017-08-18
18|"Mazda 2"|"$ 32.000.000"|"2013"|"47.600 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454418871-mazda-mazda-2-_JM"|"Otro"|"Gasolina"|"47600"|"Mazda"|"Mazda 2"|"No"|"NDQ577"|"2013"||"Sí"|"Sí"|"Sí"|"Cuero"||"Asistida"|"No"|"1500"|"Sí"|"No"|"MP3"||"Automática"|"Eléctricos"|1|1||||||||1|1|1||1|1|||1|||1|2017-08-18
19|"Mazda 2"|"$ 35.000.000"|"2014"|"27.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454109013-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"27000"|"Mazda"|"Mazda 2"|"Sí"|"HKU-932"|"2014"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|||||||||||1||1|||||1||||2017-08-18
20|"Mazda 2"|"$ 30.000.000"|"2013"|"37.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454343270-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"37000"|"Mazda"|"Mazda 2"|"Sí"|"*** **4"|"2013"||"Sí"|"Sí"|"Sí"|"Cuero"||"Asistida"|"No"|"1500"|"Sí"|"No"|"CD"|"4x2"|"Mecánica"|"Eléctricos"|1|||1||||1|1|1|1|1||||1||1||||2017-08-18
21|"Mazda 2"|"$ 26.700.000"|"2011"|"73.500 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454065596-mazda-mazda-2-_JM"|"Plateado"|"Gasolina"|"73500"|"Mazda"|"Mazda 2"||"RGP-870"|"2011"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1||||||||||1|||1|1|||||||2017-08-18
22|"Mazda 2 2011"|"$ 27.900.000"|"2011"|"76.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454452039-mazda-mazda-2-2011-_JM"|"Rojo"|"Gasolina"|"76000"|"Mazda"|"Mazda 2"||"RJW945"|"2011"|||"Sí"|"Sí"|||"Hidráulica"||"1500"|"No"||"MP3"|"4x2"|"Automática"||1|||||||||||||||||||||2017-08-18
23|"Mazda 2 2012"|"$ 31.500.000"|"2012"|"65.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454065104-mazda-mazda-2-2012-_JM"|"Plateado"||"65000"|"Mazda"|"Mazda 2"||"bfj094"|"2012"|||||||"Hidráulica"|||"No"||||"Automática"|||||||||||||||||||||||2017-08-18
24|"Mazda 2 Grand Touring"|"$ 49.000.000"|"2016"|"28.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454054813-mazda-mazda-2-grand-touring-_JM"|"Negro"|"Gasolina"|"28000"|"Mazda"|"Mazda 2"|"Sí"|"USW-480"|"2016"|"Grand Touring"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1||1|1||1|||1|2017-08-18
25|"Mazda 2 Hatchback Mecánico Mod 2011"|"$ 27.500.000"|"2011"|"78.000 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-454395667-mazda-2-hatchback-mecanico-mod-2011-_JM"|"Blanco"|"Gasolina"|"78000"|"Mazda"|"Mazda 2"||"XXX 518"|"2011"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"Sí"|"1.500"|"Sí"||"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|||||||||||||||||1||||2017-08-18
26|"Mazda 2 Hb"|"$ 26.800.000"|"2010"|"53.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454225152-mazda-mazda-2-hb-_JM"|"Gris"|"Gasolina"|"53000"|"Mazda"|"Mazda 2"|"Sí"|"KBW-640"|"2010"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1||||||||||1|1|1|1|1|1||1|||1|2017-08-18
27|"Mazda 2 Sport"|"$ 36.000.000"|"2015"|"29.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454111510-mazda-mazda-2-sport-_JM"|"Gris"|"Gasolina"|"29000"|"Mazda"|"Mazda 2"|"Sí"|"ZZY-789"|"2015"|"Sport"|"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1||||1|||||||1|1|||1||1||||2017-08-18
28|"Mazda 2 Gran Touring"|"$ 56.000.000"|"2018"|"650 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454121001-mazda-mazda-2-gran-touring-_JM"|"Otro"|"Gasolina"|"650"|"Mazda"|"Mazda 2"|"Sí"|"DQT-832"|"2018"|"Gran Touring"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"||||||||||1|1|1|1||1|||1||||2017-08-18
29|"Mazda 2 2013"|"$ 32.900.000"|"2013"|"70.000 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-454435645-mazda-mazda-2-2013-_JM"|"Gris"||"70000"|"Mazda"|"Mazda 2"||"916"|"2013"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
30|"Mazda 2 1.5 At Fe"|"$ 24.500.000"|"2009"|"77.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454118584-mazda-mazda-2-15-at-fe-_JM"|"Gris"|"Gasolina"|"77000"|"Mazda"|"Mazda 2"||"CUN-052"|"2009"|"1.5 AT FE"|"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1||||||||||1|1|1|1|1|||||||2017-08-18
31|"Mazda 2"|"$ 28.900.000"|"2010"|"53.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454109695-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"53000"|"Mazda"|"Mazda 2"||"KBP-363"|"2010"||"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Hidráulica"|"No"|"1500"|"Sí"||"MP3"|"4x2"|"Automática"|"Eléctricos"|1|||||||||1||1||||||1||||2017-08-18
32|"Mazda 2 Hb"|"$ 31.500.000"|"2012"|"67.400 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454486358-mazda-mazda-2-hb-_JM"|"Negro"|"Gasolina"|"67400"|"Mazda"|"Mazda 2"|"No"|"RKZ-434"|"2012"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||||1|||||1||||2017-08-18
33|"Mazda 2 Grand Touring"|"$ 51.500.000"|"2016"|"15.500 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454049135-mazda-mazda-2-grand-touring-_JM"|"Blanco"|"Gasolina"|"15500"|"Mazda"|"Mazda 2"|"No"|"USX-133"|"2016"|"Grand Touring"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|||||||||||||||||||||2017-08-18
34|"Mazda 2 Sport Fe"|"$ 25.599.999"|"2011"|"52.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454064148-mazda-mazda-2-sport-fe-_JM"|"Blanco"|"Gasolina"|"52000"|"Mazda"|"Mazda 2"|"No"|"RBX-380"|"2011"|"Sport FE"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1|||||||||1|1|1|1|1|||1||||2017-08-18
35|"Mazda 2 Grand Touring"|"$ 49.000.000"|"2016"|"9.000 Km"|"Santander"|"http://articulo.tucarro.com.co/MCO-454100091-mazda-mazda-2-grand-touring-_JM"|"Plateado"|"Gasolina"|"9000"|"Mazda"|"Mazda 2"|"Sí"|"IPQ-576"|"2016"|"Grand Touring"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1|||||||||1|1||1||1|||1||||2017-08-18
36|"Mazda 2 Aut 1.5"|"$ 45.800.000"|"2016"|"11.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454110861-mazda-mazda-2-aut-15-_JM"|"Gris"|"Gasolina"|"11000"|"Mazda"|"Mazda 2"|"Sí"|"IHT-306"|"2016"|"AUT 1.5"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1||1|1||1|||1|2017-08-18
37|"Mazda 2 Touring"|"$ 45.790.000"|"2016"|"23.700 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454481941-mazda-2-touring-_JM"|"Gris"|"Gasolina"|"23700"|"Mazda"|"Mazda 2"|"No"|"HHH002"|"2016"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"Sí"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1|||1|||||1|1|1|1||1|1||1||||2017-08-18
38|"Mazda 2"|"$ 46.000.000"|"2016"|"40.700 Km"|"Tolima"|"http://articulo.tucarro.com.co/MCO-454203210-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"40700"|"Mazda"|"Mazda 2"|"Sí"|"IGY-314"|"2016"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|1|||||||||||1|1||1|1||1||||2017-08-18
39|"Mazda 2 Hatch Back"|"$ 24.800.000"|"2010"|"67.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454263659-mazda-mazda-2-hatch-back-_JM"|"Gris"|"Gasolina"|"67000"|"Mazda"|"Mazda 2"|"No"|"***-**5"|"2010"|"HATCH BACK"|"Sí"|"Sí"|"Sí"|"Cuero"|"16V"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"||1|||||||||1|1|1|1|1|1||1|||1|2017-08-18
40|"Mazda 2 Hb"|"$ 26.900.000"|"2009"|"74.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454486326-mazda-mazda-2-hb-_JM"|"Gris"|"Gasolina"|"74000"|"Mazda"|"Mazda 2"|"Sí"|"DCR-456"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Cuero"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1|||1||1||||2017-08-18
41|"Mazda 2 Touring"|"$ 48.000.000"|"2017"|"4.400 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454340769-mazda-mazda-2-touring-_JM"|"Gris"|"Gasolina"|"4400"|"Mazda"|"Mazda 2"|"Sí"|"JEO-684"|"2017"|"Touring"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Asistida"|"No"|"1500"|"Sí"|"No"|"MP3"||"Mecánica"|"Eléctricos"||||||||||||1|1||1|||1||||2017-08-18
42|"Mazda 2"|"$ 28.500.000"|"2012"|"50.000 Km"|"Atlántico"|"http://articulo.tucarro.com.co/MCO-454507613-mazda-mazda-2-_JM"|"Azul"|"Gasolina"|"50000"|"Mazda"|"Mazda 2"|"Sí"|"RLK477"|"2012"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"Sí"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|||||||||1|1|1|1|||||1||||2017-08-18
43|"Mazda 2 Mazda 2 1.5 Hatchback"|"$ 21.900.000"|"2008"|"82.300 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453919631-mazda-15-hatchback-_JM"|"Plateado"|"Gasolina"|"82300"|"Mazda"|"Mazda 2"|"No"|"CYU680"|"2008"|"Mazda 2 1.5 Hatchback"|"Sí"|"Sí"|"Sí"|"Cuero"|"4"|"Asistida"|"Sí"|"1500"|"Sí"|"No"|"CD"|"4x2"|"Mecánica"|"Eléctricos"|1||||||||||1||||1|||1||||2017-08-18
44|"Mazda 2 Sedan"|"$ 30.000.000"|"2013"|"47.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-452731952-mazda-2-sedan-_JM"|"Blanco"|"Gasolina"|"47000"|"Mazda"|"Mazda 2"|"No"|"NBX202"|"2013"|"2 Sedan"|"Sí"|"Sí"|"Sí"|"Tela"||"Mecánica"|"No"||"Sí"|"No"|"MP3"|"4x4"|"Mecánica"|"Eléctricos"|1|1|||1|||||1|1||1|||||1||||2017-08-18
45|"Mazda 2"|"$ 24.500.000"|"2011"|"98.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453599840-mazda-mazda-2-_JM"|"Rojo"|"Gasolina"|"98000"|"Mazda"|"Mazda 2"|"No"|"impar"|"2011"||"Sí"|"Sí"|"Sí"|"Cuero"||"Asistida"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"||||||||||||1||||||||||2017-08-18
46|"Mazda 2 Hb"|"$ 26.300.000"|"2011"|"93.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453601354-mazda-mazda-2-hb-_JM"|"Azul"|"Gasolina"|"93000"|"Mazda"|"Mazda 2"|"No"|"RDO-135"|"2011"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1498"|"Sí"|"No"|"CD"||"Mecánica"|"Eléctricos"||||||||||1|1|1|1|1|1|1||1|||1|2017-08-18
47|"Mazda 2 Hb Aut"|"$ 33.000.000"|"2012"|"77.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453533371-mazda-mazda-2-hb-aut-_JM"|"Gris"|"Gasolina"|"77000"|"Mazda"|"Mazda 2"|"No"|"RLX-899"|"2012"|"HB AUT"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1||1|1||1|||1|2017-08-18
48|"Mazda 2 Sport"|"$ 30.200.000"|"2012"|"75.649 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453467722-mazda-mazda-2-sport-_JM"|"Blanco"|"Gasolina"|"75649"|"Mazda"|"Mazda 2"|"No"|"RIT-141"|"2012"|"SPORT"|"Sí"|"Sí"|"Sí"|"Cuero"|"4L"|"Hidráulica"|"No"|"1498"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|||1||||||1|1||1|1|1|1||1|1|||2017-08-18
49|"Mazda 2"|"$ 29.500.000"|"2011"|"66.900 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-453452565-mazda-mazda-2-_JM"|"Azul"|"Gasolina"|"66900"|"Mazda"|"Mazda 2"|"Sí"|"RHP-436"|"2011"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"CD"||"Automática"|"Eléctricos"|1||||||||||||1|||||1||||2017-08-18
50|"Mazda 2"|"$ 31.900.000"|"2011"|"73.546 Km"|"Risaralda"|"http://articulo.tucarro.com.co/MCO-452296580-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"73546"|"Mazda"|"Mazda 2"||"DXR-494"|"2011"|||"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Automática"|"Eléctricos"|||||||||||1|||||||||||2017-08-18
51|"Mazda 2 Sedan"|"$ 31.490.000"|"2011"|"52.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454004466-mazda-mazda-2-2011-_JM"|"Gris"|"Gasolina"|"52000"|"Mazda"|"Mazda 2"|"Sí"|"BXQ-788"|"2011"|"Sedan"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1||1|1||1|||1|2017-08-18
52|"Mazda 2 Hb"|"$ 26.500.000"|"2009"|"76.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453813607-mazda-mazda-2-2009-_JM"|"Plateado"|"Gasolina"|"76000"|"Mazda"|"Mazda 2"|"No"|"ITY-686"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4L"|"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1|||||||||1|1|1|1|1|1||1|||1|2017-08-18
53|"Mazda 2 Touring Automatico"|"$ 52.400.000"|"2018"|"0 Km"|"Tolima"|"http://articulo.tucarro.com.co/MCO-453706764-mazda-2-touring-automatico-2018-pano-_JM"|"Gris"|"Gasolina"|"0"|"Mazda"|"Mazda 2"|"Sí"|"0"|"2018"|"TOURING AUTOMATICO"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Asistida"|"Sí"|"1500cc"|"No"|"No"||"4x2"|"Automática"|"Eléctricos"|1|||||||||1|1||1||1|1||1||||2017-08-18
54|"Mazda 2"|"$ 29.000.000"|"2010"|"78.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-453439649-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"78000"|"Mazda"|"Mazda 2"|"No"|"MOR314"|"2010"|||"Sí"|"No"|"Tela"|"1.500"|"Otro"|"No"|"ZY562056"|"Sí"|"No"|||"Automática"|"Eléctricos"||||||||||||||||||||||2017-08-18
