"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
506|"Mazda 2 2016"|"$ 46.000.000"|"2016"|"25.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454079697-mazda-mazda-2-2016-_JM"|"Gris"||"25000"|"Mazda"|"Mazda 2"||"IYO177"|"2016"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
507|"Mazda 2 2012"|"$ 31.900.000"|"2012"|"43.000 Km"|"Caldas"|"http://articulo.tucarro.com.co/MCO-454059741-mazda-mazda-2-2012-_JM"|"Plateado"||"43000"|"Mazda"|"Mazda 2"||"KIJ953"|"2012"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
508|"Mazda 2"|"$ 25.500.000"|"2009"|"96.000 Km"|"Valle Del Cauca"|"http://articulo.tucarro.com.co/MCO-454347084-mazda-2-_JM"|"Blanco"|"Gasolina"|"96000"|"Mazda"|"Mazda 2"||"cum 477"|"2009"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|||"Sí"||||"Mecánica"|"Eléctricos"|1|||||||||||||||||1||||2017-08-18
509|"Mazda 2 2014"|"$ 35.500.000"|"2014"|"52.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454477241-mazda-mazda-2-2014-_JM"|"Gris"||"52000"|"Mazda"|"Mazda 2"||"HDN548"|"2014"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
510|"Mazda 2 2011"|"$ 30.500.000"|"2011"|"33.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454069518-mazda-mazda-2-2011-_JM"|"Plateado"||"33000"|"Mazda"|"Mazda 2"||"bby976"|"2011"|||||||"Hidráulica"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
511|"Mazda 2 2016"|"$ 51.000.000"|"2016"|"31.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454510490-mazda-mazda-2-2016-_JM"|"Gris"||"31000"|"Mazda"|"Mazda 2"||"IST809"|"2016"|||||||"Asistida"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
512|"Mazda 2"|"$ 29.300.000"|"2011"|"57.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454162251-mazda-mazda-2-_JM"|"Gris"||"57000"|"Mazda"|"Mazda 2"||"Xxxxx"|"2011"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
513|"Mazda 2"|"$ 49.000.000"|"2017"|"5.800 Km"|"Córdoba"|"http://articulo.tucarro.com.co/MCO-454117441-mazda-mazda-2-_JM"|"Rojo"||"5800"|"Mazda"|"Mazda 2"||"IUR710"|"2017"|||||||"Otro"|||"Sí"||||"Automática"|||||||||||||||||||||||2017-08-18
514|"Mazda 2 2008"|"$ 21.000.000"|"2008"|"130.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454550999-mazda-mazda-2-2008-_JM"|"Blanco"||"130000"|"Mazda"|"Mazda 2"||"GRE446"|"2008"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
515|"Mazda 2 2011"|"$ 27.500.000"|"2011"|"54.000 Km"|"Caldas"|"http://articulo.tucarro.com.co/MCO-454298801-mazda-mazda-2-2011-_JM"|"Gris"||"54000"|"Mazda"|"Mazda 2"||"rdr923"|"2011"|||||||"Hidráulica"|||"Sí"||||"Mecánica"|||||||||||||||||||||||2017-08-18
