"Id"|"Titulo"|"Precio"|"Modelo_anyo"|"Kilometros"|"Ubicacion"|"URL"|"Color"|"Combustible"|"Recorrido"|"Marca"|"Departamento"|"Ciudad"|"Barrio"|"Modelo"|"Unico"|"Placa"|"Anyo"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"fecha_grabacion"
1|"Mazda 2"|"$ 22.900.000"|"2009"|"81.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454848838-mazda-2-_JM"|"Gris"|"Gasolina"|"81000"|"Mazda"|"Bogotá D.c. "|" Engativa"|" Normandía"|"Mazda 2"|"Sí"|"AAAAA3"|"2009"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|||||||||||||1|1|1|||1||||2017-08-26
2|"Mazda 2"|"$ 25.500.000"|"2010"|"79.400 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454996359-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"79400"|"Mazda"|"Bogotá D.c. "|" Usaquén"|" Multicentro"|"Mazda 2"|"No"|"DDI806"|"2010"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"CD"|"4x2"|"Automática"|"Eléctricos"|1|1||||||||||||1||||||||2017-08-26
3|"Mazda 2 Hatchback"|"$ 27.600.000"|"2011"|"67.000 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454992060-mazda-mazda-2-hatchback-_JM"|"Blanco"|"Gasolina"|"67000"|"Mazda"|"Bogotá D.c. "|" Kennedy"|" Ciudad Kennedy Central"|"Mazda 2"|"No"|"KKR-705"|"2011"|"HATCHBACK"|"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|1||||||||1|1|1|1|1|1|1||1||||2017-08-26
4|"Mazda 2"|"$ 26.900.000"|"2011"|"63.000 Km"|"Santander"|"http://articulo.tucarro.com.co/MCO-454957759-mazda-mazda-2-_JM"|"Plateado"|"Gasolina"|"63000"|"Mazda"|"Santander "|" Bucaramanga"||"Mazda 2"|"Sí"|"KKR-173"|"2011"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1||||1|||||1|1|1|1|1|1|1||1||||2017-08-26
5|"Mazda 2"|"$ 31.000.000"|"2013"|"31.900 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454853465-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"31900"|"Mazda"|"Bogotá D.c. "|" Martires"|" Ricaurte"|"Mazda 2"|"Sí"|"NBZ-510"|"2013"||"Sí"|"Sí"|"Sí"|"Cuero"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Mecánica"|"Eléctricos"|1|||||||||1||1|1|||||1||||2017-08-26
6|"Mazda 2"|"$ 37.800.000"|"2015"|"30.100 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454623377-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"30100"|"Mazda"|"Bogotá D.c. "|" Engativa"|" La Granja"|"Mazda 2"|"Sí"|"UCR-137"|"2015"||"Sí"|"Sí"|"Sí"|"Tela"|"1498"|"Hidráulica"||"1500"|"Sí"||"MP3"||"Mecánica"|"Eléctricos"||||||||||||||||||||||2017-08-26
7|"Mazda 2"|"$ 34.500.000"|"2014"|"52.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454826429-mazda-mazda-2-_JM"|"Gris"|"Gasolina"|"52000"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"No"|"XXXXX8"|"2014"||"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"||||||||||||||||||||||2017-08-26
8|"Mazda 2"|"$ 32.000.000"|"2014"|"52.000 Km"|"Valle Del Cauca"|"http://articulo.tucarro.com.co/MCO-454993640-mazda-mazda-2-_JM"|"Blanco"|"Gasolina"|"52000"|"Mazda"|"Valle Del Cauca "|" Cali"||"Mazda 2"||"HYL-248"|"2014"|||"Sí"|"Sí"|"Cuero"||"Hidráulica"||"1500"|"Sí"||"MP3"||"Mecánica"|"Eléctricos"|||||||||||1|1|1||1|||1||||2017-08-26
9|"Mazda 2 Hb"|"$ 22.900.000"|"2009"|"84.100 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454905482-mazda-mazda-2-hb-_JM"|"Azul"|"Gasolina"|"84100"|"Mazda"|"Bogotá D.c. "|" Kennedy"|" Nueva Marsella I, Ii  y III Sector"|"Mazda 2"|"No"|"COB-117"|"2009"|"HB"|"Sí"|"Sí"|"Sí"|"Tela"|"4"|"Hidráulica"||"1500"|"Sí"||"MP3"||"Mecánica"|"Eléctricos"|1|1||||||||1||1|1||1|1||1|||1|2017-08-26
10|"Mazda 2 Hb Fe At 1.5 Aa Ab Abs"|"$ 37.500.000"|"2015"|"31.700 Km"|"Bogotá D.c."|"http://articulo.tucarro.com.co/MCO-454853620-mazda-mazda-2-hb-fe-at-15-aa-ab-abs-_JM"|"Gris"|"Gasolina"|"31700"|"Mazda"|"Bogotá D.c. "|" Kennedy"|" Roma"|"Mazda 2"|"No"|"ZXY-577"|"2015"|"HB FE AT 1.5 AA AB ABS"|"Sí"|"Sí"|"Sí"|"Tela"||"Hidráulica"|"No"|"1500"|"Sí"|"No"|"MP3"||"Automática"|"Eléctricos"|1|1|||1||||1||1||1|1|1|1||1||||2017-08-26
11|"Mazda 2 Hb"|"$ 30.900.000"|"2012"|"58.000 Km"|"Antioquia"|"http://articulo.tucarro.com.co/MCO-454800322-mazda-mazda-2-2012-_JM"|"Blanco"|"Gasolina"|"58000"|"Mazda"|"Antioquia "|" Medellín"||"Mazda 2"|"No"|"DJS-084"|"2012"|"HB"|"Sí"|"Sí"|"Sí"|"Cuero"|"4L"|"Hidráulica"|"No"|"1500"|"No"|"No"|"MP3"|"4x2"|"Automática"|"Eléctricos"|1||||||||||1|1|1||1|1||1||||2017-08-26
