"Precio"|"Modelo_anyo"|"Ubicacion"|"Color"|"Combustible"|"Recorrido"|"Departamento"|"Ciudad"|"Barrio"|"Unico"|"Placa"|"Version"|"FrenosABS"|"Aire"|"Airbag"|"Asientos"|"Cilindros"|"Direccion"|"Financiamiento"|"Motor"|"Negociable"|"MotorReparado"|"Sonido"|"Traccion"|"Transmision"|"Vidrios"|"AlarmaControl"|"Asegurado"|"RastreoSatelital"|"CD"|"DVD"|"Planta"|"Buffer"|"Estribos"|"ForroLlantaRepuesto"|"LlantasNuevas"|"LucesAntiNiebla"|"PeliculaSeguridad"|"RetrovisoresElectricos"|"ReVTecnicoMecanica"|"RinesLujo"|"Spoiler"|"SunRoof"|"BloqueoCentral"|"ForroVolante"|"ForroAsientos"|"VolanteDeportivo"|"Ubicacion_r"|"Color_r"|"Combustible_r"|"Departamento_r"|"Ciudad_r"|"Barrio_r"|"Placa_r"|"Version_r"|"Asientos_r"|"Cilindros_r"|"Direccion_r"|"Motor_r"|"Sonido_r"|"Traccion_r"|"Transmision_r"|"Vidrios_r"
56000000|2018|"Bogotá D.c."|"Otro"|"Gasolina"|650|"Bogotá D.c. "|" Suba"|" Alhambra"|0|"DQT-832"|"Gran Touring"|0|0|0|"Tela"||"Hidráulica"|0|"1500"|0||"MP3"||"Automática"|"Eléctricos"|0|0|0|0|0|0|0|0|0|1|1|1|1|0|1|0|0|1|0|0|0|"3"|"8"|"1"|"3"|"49"|"5"|"153"|"24"|"3"||"2"|"23"|"2"||"1"|"1"
27000000|2010|"Cundinamarca"|"Blanco"|"Gasolina"|41000|"Cundinamarca "|" Tabio"||0|"RAL-749"||0|0|0|"Tela"||"Hidráulica"|||0||"MP3"||"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"11"|"3"|"1"|"11"|"50"||"456"||"3"||"2"||"2"||"2"|"1"
34000000|2013|"Antioquia"|"Gris"|"Gasolina"|51000|"Antioquia "|" Medellín"||0|"MVV-341"|"AUT 1.5"|0|0|0|"Tela"|"4"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|0|1|1|0|1|0|0|1|"1"|"5"|"1"|"1"|"33"||"413"|"13"|"3"|"8"|"2"|"23"|"2"|"1"|"1"|"1"
32500000|2014|"Bogotá D.c."|"Blanco"|"Gasolina"|28100|"Bogotá D.c. "|" Suba"|" Mazurén"|0|"HIU-841"|"Sport"|0|0|0|"Cuero"||"Hidráulica"|0|"1500"|0|0|"MP3"||"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|0|1|1|1|1|0|0|1|"3"|"3"|"1"|"3"|"49"|"107"|"202"|"103"|"1"||"2"|"23"|"2"||"2"|"1"
49000000|2016|"Antioquia"|"Negro"|"Gasolina"|28000|"Antioquia "|" Medellín"||0|"USW-480"|"Grand Touring"|0|0|0|"Tela"|"4"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Automática"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|1|1|1|0|1|1|0|1|0|0|1|"1"|"7"|"1"|"1"|"33"||"543"|"27"|"3"|"8"|"2"|"23"|"2"|"1"|"1"|"1"
38700000|2015|"Bogotá D.c."|"Blanco"|"Gasolina"|23300|"Bogotá D.c. "|" Engativa"|" Villa Luz"|0|"ZYR-003"|"HB MT 1500CC"|0|0|0|"Cuero"||"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1|0|0|0|0|1|0|0|0|1|1|1|0|1|0|0|1|0|0|1|"3"|"3"|"1"|"3"|"21"|"176"|"569"|"55"|"1"||"2"|"23"|"2"|"1"|"2"|"1"
29300000|2012|"Bogotá D.c."|"Gris"|"Gasolina"|45700|"Bogotá D.c. "|" Puente Aranda"|" Ponderosa"|0|"MBV-482"|"HB"||0|0|"Tela"||"Hidráulica"||"1500"|0||"R/Rep."||"Mecánica"|"Eléctricos"|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"3"|"5"|"1"|"3"|"42"|"124"|"369"|"44"|"3"||"2"|"23"|"3"||"2"|"1"
33800000|2014|"Antioquia"|"Azul"|"Gasolina"|40500|"Antioquia "|" Medellín"||0|"HGY-295"|"HB"|0|0|0|"Tela"|"4L"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|1|1|1|0|1|1|0|1|0|0|1|"1"|"1"|"1"|"1"|"33"||"197"|"44"|"3"|"14"|"2"|"23"|"2"|"1"|"2"|"1"
36000000|2015|"Bogotá D.c."|"Gris"|"Gasolina"|29000|"Bogotá D.c. "|" Suba"|" Mazurén"|0|"ZZY-789"|"Sport"|0|0|0|"Cuero"|"4"|"Hidráulica"|0|"1500"|0|0|"MP3"|"4x2"|"Mecánica"|"Eléctricos"|1|0|0|0|1|0|0|0|0|0|0|1|1|0|0|1|0|1|0|0|0|"3"|"5"|"1"|"3"|"49"|"107"|"573"|"103"|"1"|"8"|"2"|"23"|"2"|"1"|"2"|"1"
28500000|2011|"Bogotá D.c."|"Azul"|"Gasolina"|43000|"Bogotá D.c. "|" Usaquén"|" Santa Paula"|0|"RCM-627"||0|0|0|"Cuero"||"Hidráulica"|0|"1500"|0|0|"CD"|"4x2"|"Mecánica"|"Eléctricos"|1|1|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|0|0|0|"3"|"1"|"1"|"3"|"53"|"161"|"460"||"1"||"2"|"23"|"1"|"1"|"2"|"1"
