"Id","Titulo","Precio","Modelo_anyo","Kilometros","Ubicacion","URL","Color","Combustible","Recorrido","Marca","Modelo","Unico","Placa","Anyo","Version","FrenosABS","Aire","Airbag","Asientos","Cilindros","Direccion","Financiamiento","Motor","Negociable","MotorReparado","Sonido","Traccion","Transmision","Vidrios"
61,"Mazda 2","$ 51.000.000","2017","10.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453518202-mazda-mazda-2-_JM","Rojo","Gasolina","10000","Mazda","Mazda 2","Sí","JEK-918","2017",,"Sí","Sí","Sí","Tela",,"Asistida","No","1.5","Sí","No","MP3","4x2","Mecánica","Eléctricos"
62,"Mazda 2 Hvv381.","$ 32.200.000","2014","38.850 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453503163-mazda-mazda-2-hvv381-_JM","Negro","Gasolina","38850","Mazda","Mazda 2",,"HVV381","2014",,,"Sí","Sí","Tela","1500","Otro","Sí",,"No",,,,"Mecánica","Eléctricos"
63,"Mazda 2 1.5 Aut2013 Mjy891","$ 33.900.000","2013","51.027 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453584030-mazda-2-15-aut2013-mjy891-_JM","Rojo","Gasolina","51027","Mazda","Mazda 2",,"MJY891","2013",,,"Sí","Sí","Cuero",,"Hidráulica","Sí","1500","No",,,,"Automática",
64,"Mazda 2","$ 30.000.000","2011","69.600 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453234007-mazda-mazda-2-_JM","Negro","Gasolina","69600","Mazda","Mazda 2","No","CGN933","2011",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3",,"Automática","Eléctricos"
65,"Mazda 2 Hatchback","$ 36.500.000","2015","41.000 Km","Cundinamarca","http://articulo.tucarro.com.co/MCO-453037111-mazda-mazda-2-hatchback-_JM","Plateado","Gasolina","41000","Mazda","Mazda 2",,"UCW-240","2015","Hatchback","Sí","Sí","Sí","Tela",,"Asistida",,"1498","Sí",,"MP3",,"Automática","Eléctricos"
66,"Mazda 2","$ 33.500.000","2013","44.000 Km","Risaralda","http://articulo.tucarro.com.co/MCO-452106396-mazda-mazda-2-_JM","Plateado","Gasolina","44000","Mazda","Mazda 2","Sí","MTO-023","2013",,"Sí","Sí","Sí","Cuero",,"Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
67,"Mazda 2","$ 26.100.000","2009","146.280 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451241460-mazda-mazda-2-_JM","Rojo","Gasolina","146280","Mazda","Mazda 2","No","DCL-070","2009",,"Sí","Sí","Sí","Semi-cuero","4","Asistida","No","1500","Sí",,"MP3",,"Automática","Eléctricos"
68,"Mazda 2 2011","$ 30.000.000","2011","47.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450721318-mazda-mazda-2-2011-_JM","Rojo","Gasolina","47000","Mazda","Mazda 2","No","RGO-718","2011",,"Sí","Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
69,"Mazda 2","$ 32.000.000","2013","53.514 Km","Caldas","http://articulo.tucarro.com.co/MCO-452103291-mazda-mazda-2-_JM","Plateado","Gasolina","53514","Mazda","Mazda 2",,"DHT-616","2013",,"Sí","Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
70,"Mazda 2 Hb","$ 33.800.000","2014","40.500 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451063574-mazda-mazda-2-hb-_JM","Azul","Gasolina","40500","Mazda","Mazda 2","Sí","HGY-295","2014","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
71,"Mazda 2","$ 29.000.000","2011","66.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452143177-mazda-mazda-2-_JM","Gris","Gasolina","66000","Mazda","Mazda 2","No","REO981","2011",,"Sí","Sí","Sí","Cuero","16V","Hidráulica","No","1500","Sí","No","CD",,"Mecánica","Eléctricos"
72,"Mazda 2","$ 24.500.000","2009","82.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453661810-mazda-mazda-2-_JM","Plateado","Gasolina","82000","Mazda","Mazda 2","Sí","DCL456","2009",,"Sí","Sí","Sí","Tela",,"Asistida","No","1500","Sí","No","CD","4x2","Automática","Eléctricos"
73,"Mazda 2 Sedan","$ 27.500.000","2011","103.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453455910-mazda-mazda-2-sedan-_JM","Plateado","Gasolina","103000","Mazda","Mazda 2","Sí","IUA-228","2011","Sedan","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
