"Id","Titulo","Precio","Modelo_anyo","Kilometros","Ubicacion","URL","Color","Combustible","Recorrido","Marca","Modelo","Unico","Placa","Anyo","Version","FrenosABS","Aire","Airbag","Asientos","Cilindros","Direccion","Financiamiento","Motor","Negociable","MotorReparado","Sonido","Traccion","Transmision","Vidrios"
154,"Mazda 2 Hb At","$ 26.000.000","2010","47.700 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452474076-mazda-mazda-2-_JM","Negro","Gasolina","47700","Mazda","Mazda 2","No","DCR-936","2010","HB AT","Sí","Sí","Sí","Tela",,"Asistida","No","1500","Sí",,"MP3","4x2","Automática","Eléctricos"
155,"Mazda 2","$ 33.900.000","2014","29.828 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452810889-mazda-mazda-2-_JM","Azul","Gasolina","29828","Mazda","Mazda 2","Sí","hbz-734","2014",,"Sí","Sí","Sí","Tela","6","Hidráulica","No","1498","Sí","No","MP3","4x2","Mecánica","Eléctricos"
156,"Mazda 2","$ 28.900.000","2011","76.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-449750160-mazda-mazda-2-_JM","Plateado","Gasolina","76000","Mazda","Mazda 2","No","REV-833","2011",,"Sí","Sí","Sí","Tela",,"Asistida","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
157,"Mazda 2 Hb","$ 36.500.000","2014","40.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451287871-mazda-mazda-2-hb-_JM","Blanco","Gasolina","40000","Mazda","Mazda 2","No","HGZ-678","2014","HB","Sí","Sí","Sí","Cuero","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
158,"Mazda 2 Skyactiv","$ 56.920.000","2017","0 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-435075290-mazda-mazda-2-sport-_JM","Gris","Gasolina","0","Mazda","Mazda 2","Sí","000000","2017","SKYACTIV","Sí","Sí","Sí","Tela","4","Asistida","Sí","1500","No","No","MP3","4x2","Automática","Eléctricos"
159,"Mazda 2 Hb","$ 32.300.000","2012","35.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452240579-mazda-mazda-2-hb-_JM","Blanco","Gasolina","35000","Mazda","Mazda 2","Sí","KKU-688","2012","HB","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
160,"Mazda 2 Mazda 2","$ 31.000.000","2014","35.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451831864-mazda-mazda-2-mazda-2-_JM","Rojo","Gasolina","35000","Mazda","Mazda 2","No","MOA439","2014","Mazda 2","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500cc","Sí","No","MP3","4x2","Mecánica","Eléctricos"
161,"Mazda 2 2","$ 26.900.000","2010","88.400 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451681621-mazda-mazda-2-_JM","Plateado","Gasolina","88400","Mazda","Mazda 2","No","FQB-321","2010","2","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
162,"Mazda 2 Touring","$ 42.500.000","2016","20.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451762704-mazda-mazda-2-touring-_JM","Gris","Gasolina","20000","Mazda","Mazda 2","Sí","IJY033","2016","TOURING","Sí","Sí","Sí","Tela",,"Hidráulica","No",,"Sí","No","MP3","4x2","Mecánica","Eléctricos"
163,"Mazda 2 Hb","$ 26.000.000","2010","84.600 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452657216-mazda-mazda-2-hb-_JM","Gris","Gasolina","84600","Mazda","Mazda 2","Sí","KGI-259","2010","HB","Sí","Sí","Sí","Cuero","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
164,"Mazda 2 O Cambio A Camioneta Cerrada","$ 24.000.000","2008","120.000 Km","Risaralda","http://articulo.tucarro.com.co/MCO-452104402-mazda-mazda-2-_JM","Azul","Gasolina","120000","Mazda","Mazda 2","No","CQJ-446","2008","o Cambio a Camioneta Cerrada","Sí","Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
165,"Mazda 2 Hb 1500cc Mt","$ 27.500.000","2011","70.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451201895-mazda-mazda-2-hb-1500cc-mt-_JM","Rojo","Gasolina","70000","Mazda","Mazda 2","No","REU-838","2011","HB 1500cc MT","Sí","Sí","Sí","Cuero","6","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
166,"Mazda 2 Grand Touring","$ 48.500.000","2016","25.100 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452654864-mazda-mazda-2-grand-touring-_JM","Negro","Gasolina","25100","Mazda","Mazda 2","Sí","USW-286","2016","Grand Touring","Sí","Sí","Sí","Tela","4L","Asistida","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
167,"Mazda 2 Sport Fe","$ 25.600.000","2011","70.200 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450916870-mazda-mazda-2-sport-fe-_JM","Azul","Gasolina","70200","Mazda","Mazda 2","No","REV-855","2011","Sport FE","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
168,"Mazda 2 Sedan","$ 30.000.000","2013","20.600 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452180214-mazda-mazda-2-sedan-_JM","Plateado",,"20600","Mazda","Mazda 2",,"NCN612","2013",,,,,,,"Hidráulica",,,"Sí",,,,"Mecánica",
169,"Mazda 2 1500 Aut .f.e","$ 26.800.000","2011","57.500 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451516577-mazda-mazda-2-1500-aut-fe-_JM","Verde","Gasolina","57500","Mazda","Mazda 2","Sí","RCT682","2011","1500 AUT .F.E","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
170,"Mazda 2 Hb","$ 25.500.000","2008","81.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451395169-mazda-mazda-2-hb-_JM","Gris","Gasolina","81000","Mazda","Mazda 2","Sí","CZU-189","2008","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
171,"Mazda 2 Mt 1500cc","$ 23.000.000","2009","109.650 Km","Bolívar","http://articulo.tucarro.com.co/MCO-450752152-mazda-mazda-2-mt-1500cc-_JM","Blanco","Gasolina","109650","Mazda","Mazda 2","Sí","GNQ-348","2009","MT 1500CC","Sí","Sí","Sí","Tela","4","Hidráulica",,"1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
172,"Mazda 2","$ 26.500.000","2012","73.000 Km","Santander","http://articulo.tucarro.com.co/MCO-452423494-mazda-mazda-2-_JM","Negro","Gasolina","73000","Mazda","Mazda 2","Sí","KKV-416","2012",,"Sí","Sí","Sí","Cuero",,"Hidráulica",,"1500","No",,"MP3",,"Automática","Eléctricos"
173,"Mazda 2 Hb","$ 26.500.000","2010","110.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-450335319-mazda-mazda-2-hb-_JM","Plateado","Gasolina","110000","Mazda","Mazda 2","Sí","KBQ-296","2010","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
174,"Mazda 2 Hatch Back","$ 36.000.000","2015","27.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452232876-mazda-mazda-2-hatch-back-_JM","Rojo","Gasolina","27000","Mazda","Mazda 2","Sí","***-**4","2015","HATCH BACK","Sí","Sí","Sí","Cuero",,"Asistida","No","1500","Sí","No","MP3",,"Mecánica","Eléctricos"
175,"Mazda 2","$ 42.000.000","2016","27.592 Km","Risaralda","http://articulo.tucarro.com.co/MCO-452102450-mazda-mazda-2-_JM","Gris","Gasolina","27592","Mazda","Mazda 2","Sí","IGL-998","2016",,"Sí","Sí","Sí","Cuero",,"Hidráulica",,"1496","Sí",,"MP3",,"Mecánica","Eléctricos"
176,"Mazda 2 Sedán","$ 26.500.000","2011","65.200 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452930925-mazda-2-sedan-_JM","Negro","Gasolina","65200","Mazda","Mazda 2","No","RDZ-811","2011",,"Sí","Sí","Sí","Cuero","4","Hidráulica",,"1500","Sí",,"MP3",,"Mecánica","Eléctricos"
177,"Mazda 2","$ 29.000.000","2011","49.623 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451683562-mazda-mazda-2-_JM","Blanco","Gasolina","49623","Mazda","Mazda 2","No","KHL-835","2011",,"Sí","Sí","Sí","Cuero","4","Hidráulica","No","1500","Sí",,"MP3","4x2","Automática","Eléctricos"
178,"Mazda 2 Touring Mt 1500cc","$ 47.500.000","2017","12.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452564145-mazda-mazda-2-touring-mt-1500cc-_JM","Gris","Gasolina","12000","Mazda","Mazda 2","Sí","JCT-319","2017","Touring MT 1500CC","Sí","Sí","Sí","Tela",,"Asistida","No","1500","Sí","No","MP3",,"Mecánica","Eléctricos"
179,"Mazda 2","$ 49.000.000","2016","15.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451187570-mazda-mazda-2-_JM","Blanco","Gasolina","15000","Mazda","Mazda 2","No","IML-592","2016",,"Sí","Sí","Sí","Cuero",,"Asistida","No","1496","Sí","No","MP3","4x2","Automática","Eléctricos"
180,"Mazda 2 Hatch Back","$ 34.000.000","2015","39.300 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453482363-mazda-mazda-2-hatch-back-_JM","Negro","Gasolina","39300","Mazda","Mazda 2","Sí","HVO-103","2015","HATCH BACK","Sí","Sí","Sí","Cuero",,"Hidráulica",,"1498","Sí","No","MP3",,"Mecánica","Eléctricos"
181,"Mazda 2 Grand Touring","$ 48.000.000","2016","16.500 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451798115-mazda-mazda-2-hb-_JM","Gris","Gasolina","16500","Mazda","Mazda 2","Sí","IHT-904","2016","Grand touring","Sí","Sí","Sí","Tela","4","Asistida","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
182,"Mazda 2 Touring Mt 1500","$ 46.000.000","2017","8.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450457572-mazda-mazda-2-touring-mt-1500-_JM","Gris","Gasolina","8000","Mazda","Mazda 2","Sí","JDN-606","2017","Touring MT 1500","Sí","Sí","Sí","Tela",,"Hidráulica","No","1496","Sí","No","MP3","4x2","Mecánica","Eléctricos"
183,"Mazda 2","$ 26.400.000","2011","67.100 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453499713-mazda-mazda-2-_JM","Azul","Gasolina","67100","Mazda","Mazda 2","Sí","RHZ-539","2011",,"Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
184,"Mazda 2","$ 35.700.000","2015","30.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451607234-mazda-mazda-2-_JM","Blanco","Gasolina","30000","Mazda","Mazda 2","Sí","***-**8","2015",,"Sí","Sí","Sí","Cuero",,"Hidráulica","No","1498","Sí","No","MP3","4x2","Mecánica","Eléctricos"
185,"Mazda 2 Hb","$ 28.000.000","2012","54.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450708105-mazda-mazda-2-hb-_JM","Gris","Gasolina","54000","Mazda","Mazda 2","No","DJO-514","2012","HB",,"Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","CD","4x2","Automática","Eléctricos"
186,"Mazda 2 Hb Mecanico","$ 27.800.000","2010","78.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451601991-mazda-mazda-2-hb-mecanico-_JM","Blanco","Gasolina","78000","Mazda","Mazda 2","Sí","ELM-429","2010","HB MECANICO","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
187,"Mazda 2 Touring","$ 42.500.000","2016","28.000 Km","Santander","http://articulo.tucarro.com.co/MCO-451673388-mazda-mazda-2-touring-_JM","Blanco","Gasolina","28000","Mazda","Mazda 2","Sí","UDW-786","2016","Touring","Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí",,"MP3",,"Mecánica","Eléctricos"
188,"Mazda 2 Skyactiv","$ 50.620.000","2017","0 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-435075408-mazda-2-touring-aut-skyactiv-_JM","Blanco","Gasolina","0","Mazda","Mazda 2","Sí","000000","2017","SKYACTIV","Sí","Sí","Sí","Tela","4","Asistida","Sí","1500","No","No","MP3","4x2","Automática","Eléctricos"
189,"Mazda 2","$ 29.500.000","2013","39.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452655961-mazda-mazda-2-_JM","Negro","Gasolina","39000","Mazda","Mazda 2","Sí","HBY-537","2013",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","CD","4x2","Automática","Eléctricos"
190,"Mazda 2 Grand Touring","$ 48.000.000","2016","16.933 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452654663-mazda-mazda-2-grand-touring-_JM","Gris","Gasolina","16933","Mazda","Mazda 2","Sí","IHS-695","2016","Grand Touring","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
191,"Mazda 2 Hb","$ 28.800.000","2012","58.500 Km","Antioquia","http://articulo.tucarro.com.co/MCO-452122153-mazda-mazda-2-hb-_JM","Gris","Gasolina","58500","Mazda","Mazda 2","Sí","DIK-210","2012","HB","Sí","Sí","Sí","Tela","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
192,"Mazda 2 Grand Touring At 1500cc","$ 52.000.000","2017","5.690 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451608367-mazda-mazda-2-grand-touring-at-1500cc-_JM","Blanco","Gasolina","5690","Mazda","Mazda 2","Sí","DNK-327","2017","Grand Touring AT 1500CC","Sí","Sí","Sí","Tela","4","Hidráulica","No","1496","Sí","No","MP3","4x2","Automática","Eléctricos"
193,"Mazda 2 Hb","$ 22.000.000","2008","115.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451143913-mazda-mazda-2-hb-_JM","Rojo","Gasolina","115000","Mazda","Mazda 2","No","4","2008","HB","Sí","Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3",,"Automática","Eléctricos"
194,"Mazda 2 Skyactiv Sport","$ 47.970.000","2017","0 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-435075261-mazda-mazda-2-skyactiv-sport-_JM","Azul","Gasolina","0","Mazda","Mazda 2","Sí","000000","2017","SKYACTIV SPORT","Sí","Sí","Sí","Tela","4","Asistida","Sí","1500","No","No","MP3","4x2","Mecánica","Eléctricos"
195,"Mazda 2 Hb","$ 31.900.000","2012","58.150 Km","Antioquia","http://articulo.tucarro.com.co/MCO-451603233-mazda-mazda-2-hb-_JM","Blanco","Gasolina","58150","Mazda","Mazda 2","Sí","DJS-084","2012","HB","Sí","Sí","Sí","Cuero","4L","Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
196,"Mazda 2","$ 28.500.000","2012","50.000 Km","Atlántico","http://articulo.tucarro.com.co/MCO-450052691-mazda-mazda-2-_JM","Azul","Gasolina","50000","Mazda","Mazda 2","Sí","RLK477","2012",,"Sí","Sí","Sí","Tela",,"Hidráulica","Sí","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
197,"Mazda 2","$ 21.000.000","2009","98.824 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451616550-mazda-mazda-2-_JM","Verde","Gasolina","98824","Mazda","Mazda 2","No","CUK-521","2009",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
198,"Mazda 2 Hatch Back","$ 22.200.000","2009","119.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450582343-mazda-mazda-2-hatch-back-_JM","Negro","Gasolina","119000","Mazda","Mazda 2","No","CZS943","2009","HATCH BACK","Sí","Sí","Sí","Tela","16 V","Hidráulica","No","1500 CC","Sí","No","MP3","4x2","Mecánica","Eléctricos"
199,"Mazda 2 Hatch Back","$ 27.000.000","2010","45.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-451518003-mazda-mazda-2-hatch-back-_JM","Negro","Gasolina","45000","Mazda","Mazda 2","No","RAR802","2010","HATCH BACK",,"Sí","Sí","Cuero",,"Asistida","No","1500","Sí","No","MP3",,"Automática","Eléctricos"
200,"Mazda 2 Hb","$ 25.000.000","2010","103.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452569797-mazda-mazda-2-hb-_JM","Azul","Gasolina","103000","Mazda","Mazda 2","No","DDC-468","2010","HB","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí",,"MP3","4x2","Automática","Eléctricos"
201,"Mazda 2 Hb","$ 26.500.000","2010","71.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-450351278-mazda-mazda-2-hb-_JM","Azul","Gasolina","71000","Mazda","Mazda 2","No","FHN-638","2010","HB","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
202,"Mazda 2 Tunning","$ 43.000.000","2016","12.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452495938-mazda-mazda-2-tunning-_JM","Gris","Gasolina","12000","Mazda","Mazda 2","Sí","IWN-069","2016","TUNNING","Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
203,"Mazda 2","$ 23.000.000","2009","74.001 Km","Risaralda","http://articulo.tucarro.com.co/MCO-451961042-mazda-mazda-2-_JM","Verde","Gasolina","74001","Mazda","Mazda 2",,"FHI-056","2009",,,"Sí","Sí","Tela",,"Hidráulica",,"1500","Sí",,"MP3",,"Automática","Eléctricos"
204,"Mazda 2 2015","$ 38.500.000","2015","25.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-452380049-mazda-mazda-2-2015-_JM","Blanco","Gasolina","25000","Mazda","Mazda 2",,"*****2","2015",,"Sí","Sí","Sí","Cuero",,"Hidráulica",,"1500","Sí",,"MP3",,"Automática","Eléctricos"
205,"Mazda 2","$ 21.200.000","2009","118.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-449634358-mazda-mazda-2-_JM","Gris","Gasolina","118000","Mazda","Mazda 2","No","GNP-712","2009",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1500","Sí","No","CD","4x2","Automática","Eléctricos"
206,"Mazda 2 Full Automatico","$ 22.300.000","2010","108.001 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450669770-mazda-2-automatico-full-equipo-bogota-_JM","Negro","Gasolina","108001","Mazda","Mazda 2","No","*****1","2010","FULL AUTOMATICO",,"Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
207,"Mazda 2 2009 At","$ 20.800.000","2009","108.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-450669838-mazda-2-2009-at-_JM","Gris",,"108000","Mazda","Mazda 2",,"+++++6","2009",,,"Sí",,"Cuero",,"Hidráulica",,,"Sí",,,,"Automática","Eléctricos"
208,"Mazda 2 Touring 1.500cc 2016","$ 46.000.000","2016","31.380 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454072819-mazda-2-touring-1500cc-2016-_JM","Gris","Gasolina","31380","Mazda","Mazda 2",,"USV305","2016",,"Sí","Sí","Sí","Tela",,"Hidráulica","No","1.500CC","Sí",,"MP3",,"Automática","Eléctricos"
209,"Mazda 2","$ 50.000.000","2016","27.022 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454101992-mazda-mazda-2-_JM","Blanco","Gasolina","27022","Mazda","Mazda 2","Sí","xxx458","2016",,"Sí","Sí","Sí","Tela",,"Hidráulica","Sí","1600","Sí",,"MP3","4x2","Automática",
210,"Mazda 2 Mazda 2 Skyactiv. 1.5 Cc","$ 48.000.000","2017","12.000 Km","Atlántico","http://articulo.tucarro.com.co/MCO-454050957-mazda-touring-2-skyactiv-automatico-2017-motor-15-cc-_JM","Blanco","Gasolina","12000","Mazda","Mazda 2",,"UGL014","2017","Mazda 2 Skyactiv. 1.5 cc","Sí","Sí","Sí","Tela","4 en linea","Asistida",,"1.5 litros","Sí",,"MP3","4x2","Automática","Eléctricos"
211,"Mazda 2","$ 30.500.000","2012","58.991 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454102844-mazda-mazda-2-_JM","Plateado","Gasolina","58991","Mazda","Mazda 2",,"KMQ591","2012",,,"Sí","Sí","Cuero",,"Hidráulica","Sí","1500","No","No","R/Rep.","4x2","Automática",
212,"Mazda 2","$ 29.000.000","2011","63.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453900901-mazda-mazda-2-_JM","Blanco","Gasolina","63000","Mazda","Mazda 2","No","RGO396","2011",,"Sí","Sí","Sí","Tela",,"Hidráulica","Sí","1500","Sí","No","CD","4x2","Mecánica","Eléctricos"
213,"Mazda 2 Mazda 2 Hb Aut, Sun Roof","$ 25.500.000","2010","62.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454113586-mazda-2-at-1500cc-fe-sun-roof-2010-_JM","Vinotinto","Gasolina","62000","Mazda","Mazda 2","No","RZI467","2010","MAZDA 2 HB AUT, SUN ROOF","Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
214,"Mazda 2 Full","$ 24.700.000","2009","73.437 Km","Nariño","http://articulo.tucarro.com.co/MCO-453829439-mazda-mazda-2-2009-_JM","Vinotinto","Gasolina","73437","Mazda","Mazda 2","No","******","2009","FULL","Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","CD","4x2","Mecánica","Eléctricos"
215,"Mazda 2 2015","$ 36.500.000","2015","32.000 Km","Valle Del Cauca","http://articulo.tucarro.com.co/MCO-454067826-mazda-mazda-2-2015-_JM","Gris",,"32000","Mazda","Mazda 2",,"ICS640","2015",,,,,,,"Hidráulica",,,"Sí",,,,"Automática",
216,"Mazda 2 Mazda 2 Aut","$ 27.000.000","2011","79.831 Km","Boyaca","http://articulo.tucarro.com.co/MCO-454051589-mazda-2-automatico-_JM","Rojo","Gasolina","79831","Mazda","Mazda 2","No","RIK661","2011","MAZDA 2 AUT","Sí","Sí","Sí","Tela",,"Hidráulica","No","1498","Sí",,"CD",,"Automática","Eléctricos"
217,"Mazda 2 Turing","$ 48.500.000","2016","20.350 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453915094-mazda-2-turing-automatico-2016-_JM","Blanco","Gasolina","20350","Mazda","Mazda 2","Sí","HYS 011","2016","TURING","Sí","Sí","Sí","Tela",,"Hidráulica","Sí","1500","Sí","No","MP3","4x2","Automática","Eléctricos"
218,"Mazda 2 2016","$ 47.900.000","2016","5.900 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453902794-mazda-mazda-2-2016-_JM","Gris",,"5900","Mazda","Mazda 2",,"iov523","2016",,,,,,,"Hidráulica",,,"Sí",,,,"Automática",
219,"Mazda 2 Modelo 2010 1.5 Full Equipo / 102.00...","$ 26.700.000","2010","102.000 Km","Caldas","http://articulo.tucarro.com.co/MCO-453846173-mazda-2-modelo-2010-15-full-equipo-102000-kms-_JM","Azul","Gasolina","102000","Mazda","Mazda 2",,"KDR691","2010",,"Sí","Sí","Sí","Cuero",,"Hidráulica",,"1.5","Sí",,"MP3",,"Mecánica","Eléctricos"
220,"Mazda 2 Hb Mecanico, 1500cc, Full","$ 28.500.000","2011","61.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454051544-mazda-2-hb-mecanico-1500cc-full-_JM","Gris","Gasolina","61000","Mazda","Mazda 2","No","kjo652","2011",,"Sí","Sí","Sí","Tela","4","Hidráulica","No","1500","Sí","No","MP3","4x2","Mecánica","Eléctricos"
221,"Mazda 2","$ 32.000.000","2013","46.000 Km","Risaralda","http://articulo.tucarro.com.co/MCO-453847364-mazda-2-_JM","Blanco",,"46000","Mazda","Mazda 2","Sí","MUU-927","2013",,,"Sí","Sí","Tela",,"Hidráulica",,,"Sí",,,,"Mecánica","Eléctricos"
222,"Mazda Hatchbag 2 2009","$ 24.000.000","2009","114.000 Km","Atlántico","http://articulo.tucarro.com.co/MCO-454040703-mazda-hatchbag-2-2009-_JM","Beige","Gasolina","114000","Mazda","Mazda 2",,"GNP575","2009",,,"Sí","Sí","Tela",,"Hidráulica",,,"No",,,,"Mecánica","Eléctricos"
223,"Mazda 2 2011","$ 26.500.000","2011","93.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453979703-mazda-mazda-2-2011-_JM","Negro",,"93000","Mazda","Mazda 2",,"khl799","2011",,,,,,,"Asistida",,,"Sí",,,,"Mecánica",
224,"Mazda 2 2017","$ 47.300.000","2017","11.874 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453948132-mazda-mazda-2-2017-_JM","Gris",,"11874","Mazda","Mazda 2",,"JBP764","2017",,,,,,,"Hidráulica",,,"Sí",,,,"Automática",
225,"Mazda 2 2011","$ 28.900.000","2011","73.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-454105814-mazda-mazda-2-2011-_JM","Blanco",,"73000","Mazda","Mazda 2",,"RGM691","2011",,,,,,,"Hidráulica",,,"Sí",,,,"Mecánica",
226,"Mazda 2 Sedan","$ 32.000.000","2013","76.900 Km","Risaralda","http://articulo.tucarro.com.co/MCO-454102899-mazda-mazda-2-sedan-_JM","Blanco",,"76900","Mazda","Mazda 2",,"KDN-579","2013",,,,,,,"Hidráulica",,"1500","Sí",,,,"Mecánica",
227,"Mazda 2 2011","$ 30.000.000","2011","74.000 Km","Risaralda","http://articulo.tucarro.com.co/MCO-453926403-mazda-mazda-2-2011-_JM","Blanco",,"74000","Mazda","Mazda 2",,"PFS-931","2011",,,,,,,"Hidráulica",,,"Sí",,,,"Automática",
228,"Mazda 2 2017","$ 53.500.000","2017","10.000 Km","Antioquia","http://articulo.tucarro.com.co/MCO-453863329-mazda-mazda-2-2017-_JM","Blanco",,"10000","Mazda","Mazda 2",,"jbl398","2017",,,,,,,"Hidráulica",,,"Sí",,,,"Automática",
229,"Mazda 2","$ 31.200.000","2012","52.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453712398-mazda-mazda-2-_JM","Gris",,"52000","Mazda","Mazda 2",,"6","2012",,,"Sí","Sí",,,"Hidráulica",,,"Sí",,,,"Mecánica",
230,"Mazda 2","$ 31.000.000","2012","50.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-454118704-mazda-mazda-2-_JM","Gris","Gasolina","50000","Mazda","Mazda 2","Sí","MBW096","2012",,"Sí","Sí","Sí","Cuero",,"Hidráulica","No","1500","Sí","No","MP3",,"Automática","Eléctricos"
231,"Mazda 2","$ 27.500.000","2011","55.000 Km","Bogotá D.c.","http://articulo.tucarro.com.co/MCO-453978728-mazda-mazda-2-_JM","Plateado","Gasolina","55000","Mazda","Mazda 2","No","RGV-542","2011",,"Sí","Sí","Sí","Cuero",,"Hidráulica",,"1500","Sí",,"MP3","4x2","Mecánica","Eléctricos"
